,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7
51,2022-07-08,0.802111,207,0.530769,390,0.025641,0.7705732433761104,86.150277766667
52,2022-07-11,0.811047,192,0.520325,369,0.067751,0.8138682513115765,67.339444416668
53,2022-07-12,0.824859,194,0.482587,402,0.116915,0.883202559115163,67.966111116669
54,2022-07-13,0.861751,111,0.299191,371,0.415094,0.72287520314473,40.910555550001
55,2022-07-14,0.799443,173,0.436869,396,0.090909,0.7075157127754699,61.178333333334
56,2022-07-15,0.845481,201,0.533156,377,0.087533,0.9360567963304082,70.118055549999
57,2022-07-18,0.843077,176,0.442211,398,0.180905,0.8573582214927935,53.668055549999
58,2022-07-19,0.840256,172,0.411483,418,0.248804,0.7367661804015563,59.573888883334
59,2022-07-20,0.818436,184,0.438095,420,0.147619,0.8347864714126457,58.7638889
60,2022-07-21,0.814024,164,0.394231,416,0.211538,0.9040675840689432,51.576111100002
61,2022-07-22,0.816712,203,0.473193,429,0.135198,0.9762017177484686,65.642499999999
62,2022-07-25,0.772036,177,0.478378,370,0.110811,0.8749832023075449,50.863611133333
63,2022-07-26,0.851393,191,0.488491,391,0.173913,0.8439413322011617,60.575555516665
64,2022-07-27,0.853333,159,0.419525,379,0.200528,0.8404953506569055,54.842222216667
65,2022-07-28,0.854227,174,0.411348,423,0.186761,0.7463729324284029,57.901111116666
66,2022-07-29,0.824773,185,0.497312,372,0.110215,0.8513452656879841,65.293888866666
67,2022-08-01,0.833333,168,0.418953,401,0.221945,0.8908424298325898,69.183611116667
68,2022-08-02,0.778598,146,0.388298,376,0.276596,0.8499652488038701,47.811388883334
69,2022-08-03,0.816817,190,0.452381,420,0.207143,0.8039193255054071,60.017222233334
70,2022-08-04,0.832727,140,0.328638,426,0.35446,0.8576713571029126,45.405833333335
71,2022-08-05,0.833819,189,0.480916,393,0.127226,0.8250230941324078,68.397499999999
72,2022-08-08,0.811634,180,0.436893,412,0.13012,0.7992426650349435,59.282499999998
73,2022-08-09,0.87055,161,0.391727,411,0.265403,0.8340952575775056,53.968333316667
74,2022-08-10,0.80654,191,0.506631,377,0.05168,0.7545542795251395,70.634444466666
75,2022-08-11,0.827684,181,0.507003,357,0.043127,0.7489332226105669,69.450277766664
76,2022-08-12,0.845902,148,0.365432,405,0.27381,0.7960119731006662,43.878611133332
77,2022-08-15,0.830904,174,0.42029,414,0.198598,0.9266958145000732,55.921944433334
78,2022-08-16,0.861582,172,0.3918,439,0.221491,0.8017277010796618,64.872222250001
79,2022-08-17,0.869128,163,0.391827,416,0.302108,0.9068620640988804,47.534999999997
80,2022-08-18,0.820313,203,0.487981,416,0.106977,0.870211095473223,81.263333333334
81,2022-08-19,0.819512,213,0.508353,419,0.059633,0.7752249396000043,70.3725
82,2022-08-22,0.813187,176,0.389381,452,0.225053,0.7272292074063085,55.004166666665
83,2022-08-23,0.870056,164,0.37788,434,0.215078,0.7965322689174573,56.502500016667
84,2022-08-24,0.822581,165,0.369128,447,0.18913,0.762367359369777,56.410555583334
85,2022-08-25,0.858942,179,0.413395,433,0.125275,0.8664780487476131,65.147222250002
86,2022-08-26,0.779793,183,0.444175,412,0.102326,0.8138590751639084,57.522222216666
