,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7
60,2022-08-05,0.726531,146,0.064516,0.523297,279,4.259341104777108,19.629213
61,2022-08-08,0.707547,123,0.086066,0.504098,244,4.66306047662717,20.705479
62,2022-08-09,0.69163,128,0.059761,0.50996,251,3.8846548017866795,17.346405
63,2022-08-10,0.71831,138,0.119522,0.549801,251,4.3608310200011635,22.721854
64,2022-08-11,0.686747,135,0.12628,0.460751,293,4.652327179124459,24.794118
65,2022-08-12,0.718062,135,0.120301,0.507519,266,5.162058328780102,24.785276
66,2022-08-16,0.705645,146,0.073801,0.538745,271,4.379739647033537,24.16185
67,2022-08-17,0.748918,138,0.097656,0.539063,256,4.68822747231757,23.341317
68,2022-08-18,0.736626,149,0.071161,0.558052,267,4.740935844882925,19.960227
69,2022-08-19,0.729614,133,0.079545,0.503788,264,3.881809614926351,19.333333
70,2022-08-22,0.681034,130,0.130435,0.471014,276,5.2500243039667795,23.642857
71,2022-08-23,0.703057,139,0.115672,0.518657,268,4.482100328947422,31.440252
72,2022-08-24,0.714286,142,0.137457,0.487973,291,3.981095063918455,21.281609
73,2022-08-25,0.70339,136,0.151203,0.467354,291,4.4493640376280785,24.687117
74,2022-08-26,0.775229,137,0.054393,0.573222,239,4.7113425751802955,24.982143
75,2022-08-29,0.717213,130,0.180328,0.454545,286,4.682774547724007,23.077922
76,2022-08-30,0.807292,136,0.154989,0.404762,336,4.001964152548275,24.80814
77,2022-08-31,0.846914,151,0.157787,0.448071,337,4.763723672586336,25.280423
78,2022-09-01,0.698413,154,0.162939,0.492013,313,4.572385976240244,15.431818
79,2022-09-02,0.730469,144,0.144172,0.441718,326,4.513051258782673,17.586022
80,2022-09-05,0.70614,123,0.269231,0.363905,338,5.15452777177448,34.380645
81,2022-09-06,0.689531,152,0.081433,0.495114,307,4.819440857221723,38.187845
82,2022-09-07,0.694444,141,0.089606,0.505376,279,4.214050921502774,29.27439
83,2022-09-08,0.731959,172,0.014881,0.511905,336,5.321436253128745,20.906404
84,2022-09-09,0.728448,136,0.02963,0.505576,269,4.628964308455195,26.765432
